,SPX Index,cash,total,benchmark
2012-12-26,159020.96,946.6200000000536,159967.58000000005,166769.37653673283
2012-12-27,158827.19999999998,946.6200000000536,159773.82000000004,166566.17543420044
2012-12-28,157072.16,946.6200000000536,158018.78000000006,164725.61978293897
2012-12-31,159733.28,946.6200000000536,160679.90000000005,167516.4048674299
2013-01-02,163791.04,946.6200000000536,164737.66000000006,171771.88229213978
2013-01-03,163449.44,946.6200000000536,164396.06000000006,171413.63757380235
2013-01-04,164244.64,946.6200000000536,165191.26000000007,172247.58429517804
2013-01-07,163731.68000000002,946.6200000000536,164678.30000000008,171709.6299312484
2013-01-08,163200.80000000002,946.6200000000536,164147.42000000007,171152.8824017666
2013-01-09,163634.24,946.6200000000536,164580.86000000004,171607.44209355867
2013-01-10,164877.44,946.6200000000536,165824.06000000006,172911.2179537375
2013-01-11,164869.6,946.6200000000536,165816.22000000006,172902.99594380846
2013-01-14,164716.16,946.6200000000536,165662.78000000006,172742.07946376837
2013-01-15,164902.08,946.6200000000536,165848.70000000004,172937.05855637166
2013-01-16,164934.56,946.6200000000536,165881.18000000005,172971.12116893491
2013-01-17,165865.28,946.6200000000536,166811.90000000005,173947.19120479855
2013-01-18,166429.76,946.6200000000536,167376.38000000006,174539.17591969058
2013-01-22,167166.72,946.6200000000536,168113.34000000005,175312.0448530218
2013-01-23,167418.72,946.6200000000536,168365.34000000005,175576.3237435986
2013-01-24,167419.84,946.6200000000536,168366.46000000005,175577.4983164456
2013-01-25,168331.52000000002,946.6200000000536,169278.14000000007,176533.60061391006
2013-01-28,168020.16,946.6200000000536,168966.78000000006,176207.06936244186
2013-01-29,168878.08,946.6200000000536,169824.70000000004,177106.79216324995
2013-01-30,168219.52000000002,946.6200000000536,169166.14000000007,176416.14332920927
2013-01-31,167788.31999999998,946.6200000000536,168734.94000000003,175963.93278311117
2013-02-01,169475.04,946.6200000000536,170421.66000000006,177732.8394907052
2013-02-04,167519.52000000002,946.6200000000536,168466.14000000007,175682.03529982927
2013-02-05,169264.47999999998,946.6200000000536,170211.10000000003,177512.0197954677
2013-02-06,169357.44,946.6200000000536,170304.06000000006,177609.50934176933
2013-02-07,169051.68000000002,946.6200000000536,169998.30000000008,177288.85095453617
2013-02-08,170008.16,946.6200000000536,170954.78000000006,178291.93616588096
2013-02-11,169905.12,946.6200000000536,170851.74000000005,178183.8754639562
2013-02-12,170176.16,946.6200000000536,171122.78000000006,178468.12209293214
2013-02-13,170276.96,946.6200000000536,171223.58000000005,178573.83364916287
